配 件 信 息 一 览 表,,,,,,,,,,,
PEI JIAN XIN XI YI LAN BIAO,,,,,,,,,,,
打印日期：,2017/5/3,,,,,,,,,,
序号,配件编码,类别,单位,重量,一级进价,一级销价,名称,供应商名称,公司名称,定价公司,定价公司
2109,3526DDSKF,手控阀,只,,0,0,手控阀,,,01,01
2110,3526PASKF,手控阀,只,,0,0,手控阀,,,01,01
2111,3526PBSKF,手控阀,只,,200,0,手控阀,,,01,01
2112,3526PCSKF,手控阀,只,,0,0,手控阀,,,01,01
2113,3526PDSKF,手控阀,只,,0,0,手控阀,,,01,01
2114,3526se-dAWSKF1,手控阀,只,,0,0,手控阀,,,01,01
2115,352HLZHKG,组合开关,只,,80,90,组合开关,,,01,01
2116,3530.000.0202,皮碗,只,,10,10,皮碗,,,01,01
2117,35300000182pw,皮碗,只,,0,0,皮碗,,,01,01
2118,35300000212PW,皮碗,只,,10,0,皮碗,,,01,01
2119,35304900260TLCGHFB,瑞立,只,,0,0,后分泵,,,01,01
2120,353080RG35A-21PW,皮碗,只,,0,0,皮碗,,,01,01
2121,35490170140J6PQZDF,排气制动阀,只,,210,0,排气制动阀,,,01,01
2122,3549qaPQZLG,排气制动阀,只,,80,0,排气助力缸,,,01,01
2123,35BD219YSJZC,压缩机,套,,15,0,压缩机轴承,,,01,01
2124,35LTTT,千斤顶,只,,0,0,轮胎套铜,,,01,01
2125,360111ZC,轴承,只,,0,0,轴承,,,01,01
2126,360cg,,根,,14,0,后门撑杆,,,01,01
2127,36100-84100qdj,聊城东岳,台,,350,410,起动机,,,01,01
2128,367QYBJQ,气压报警器,只,,0,0,气压报警器,,,01,01
2129,368-AXXJDQ,小型继电器,只,,0,0,小型继电器,,,01,01
2130,369cbczhkg,组合开关,只,,62,70,组合开关,,,01,01
2131,36DPDZJL,,只,,0,0,皮带张紧轮,,全公司共享,01,01
2132,36DPDZJL1,,只,,0,0,皮带张紧轮,,全公司共享,01,01
2133,36LTTT,千斤顶,只,,0,0,轮胎套铜,,,01,01
2134,370.0650.6-1pw,皮碗,只,,0,0,皮碗,,,01,01
2135,370.0650.6-1PW1,皮碗,只,,10,0,皮碗,,,01,01
2136,3707056PW,皮碗,只,,0,10,皮碗,,,01,01
2137,3708n-500mdc,马达开关,只,,0,0,马达齿,,,01,01
2138,372010-240BXH,保险盒,只,,,,保险盒,,,01,01
2139,3720JL1,机滤,只,,0,0,机滤,,,01,01
2140,3722JL1,机滤,只,,0,0,机滤,,,01,01
2141,3722JLZ,机滤,只,,8,9,机滤座,,,01,01
2142,373SB,水泵,台,,135,145,水泵,,,01,01
2143,373SB1,水泵,台,,135,145,水泵,,,01,01
2144,37540300010DCF,,只,,0,0,电磁阀,,全公司共享,01,01
2145,3754EBDCF,电磁气阀,只,,165,0,电磁阀,,,01,01
2146,3754EDDCF,电磁气阀,只,,155,0,电磁阀,,,01,01
2147,37V50YGJDQ,雨刮继电器,只,,10,15,雨刮继电器,,,01,01
2148,37V66-08010-AMDC,马达齿,只,,0,0,马达齿,,,01,01
2149,37v84adyf,断油阀,只,,85,95,断油阀,,,01,01
2150,3801010-0A2,仪表总成,只,,290,0,仪表总成,,,01,01
2151,38LTTT,千斤顶,只,,0,0,轮胎套铜,,,01,01
2152,392awyfz,油浮子,只,,95,0,油浮子,,,01,01
2153,3cfledfd,真空灯,只,,0,0,LED方灯,,,01,01
2154,3cfzkd,真空灯,只,,8.5,10,真空灯,,,01,01
2155,-3-CKSB,水泵,台,,0,0,水泵,,,01,01
2156,3cysqd,真空灯,只,,0,0,疝气灯,,,01,01
